Name,Sex,House,Race,Blood status,Birthdate,Deathdate.or.Censor,Days,Loyalty,Status
Dolores Jane Umbridge,Female,Slytherin,Human,Half-blood,8/26/1960,6/30/1998,"13,822.00",Voldemort,1
Dorcas Meadowes,Female,NA,Human,Unknown,4/23/1955,6/3/1981,"9,538.00",Dumbledore,2
Draco Malfoy,Male,Slytherin,Human,Pure-blood,6/5/1980,6/30/1998,"6,599.00",Voldemort,1
Dudley Dursley,Male,NA,Human ,Muggle,6/23/1980,6/30/1998,"6,581.00",Unknown,1
Edgar Bones,Male,Hufflepuff,Human,Unknown,8/22/1947,6/3/1981,"12,339.00",Dumbledore,2
Edward Remus Lupin,Male,Hufflepuff,Human,Half-blood,3/10/1960,5/2/1998,"13,932.00",Dumbledore,2
Elphias Doge,Male,NA,Human,Pure-blood,8/26/1881,6/30/1998,"42,676.00",Dumbledore,1
Emmeline Vance,Female,NA,Human,Unknown,4/23/1963,2/2/1996,"11,973.00",Dumbledore,2
Ernest Macmillan,Male,Hufflepuff,Human,Pure-blood,4/21/1980,6/30/1998,"6,644.00",Dumbledore,1
Fabian Prewett,Male,NA,Human,Pure-blood,6/3/1905,1/1/1981,"27,606.00",Dumbledore,2
Fat Friar,Male,Hufflepuff,Ghost,Unknown,9/9/0995,2/6/1987,"362,105.00",Unknown,2
Fenrir Greyback,Male,NA,Werewolf,Werewolf,11/28/1944,6/30/1998,"19,572.00",Voldemort,1
Filius Flitwick,Male,Ravenclaw,Half-Human,Part-Goblin,10/17/1958,6/30/1998,"14,501.00",Dumbledore,1
Fleur Isabelle Delacour,Female,Beauxbatons Academy of Magic,Human,Quarter-Veela,10/30/1977,6/30/1998,"7,548.00",Dumbledore,1
Frank Longbottom,Male,Gryffindor,Human,Pure-blood,8/25/1959,6/30/1998,"14,189.00",Dumbledore,1
Fred Weasley,Male,Gryffindor,Human,Pure-blood,4/1/1978,5/2/1998,"7,336.00",Dumbledore,2
Gabrielle Delacour,Female,Beauxbatons Academy of Magic,Human ,Quarter-Veela,6/30/1986,6/30/1998,"4,383.00",Dumbledore,1
Garrick Ollivander,Male,Ravenclaw,Human,Half-blood,9/25/1907,6/30/1998,"33,151.00",Dumbledore,1
Gellert Grindelwald,Male,NA,Human ,Pure-blood or half-blood,2/25/1905,3/26/1998,"33,997.00",Voldemort,2
George Weasley,Male,Gryffindor,Human,Pure-blood,4/11/1978,6/30/1998,"7,385.00",Dumbledore,1
Gideon Prewett,Male,NA,Human,Pure-blood,5/4/1905,6/3/1981,"27,789.00",Dumbledore,2
Gilderoy Lockhart,Male,Ravenclaw,Human,Half-blood,1/26/1964,6/30/1998,"12,574.00",Dumbledore,1
Ginevra (Ginny) Molly Weasley,Female,Gryffindor,Human,Pure-blood,8/1/1989,6/30/1998,"3,255.00",Dumbledore,1
Godric Gryffindor,Male,Gryffindor,Human,Unknown,8/22/0975,6/23/1043,"24,776.00",Dumbledore,2
Graham Montague,Male,Slytherin,Human,Unknown,8/31/1980,6/30/1998,"6,512.00",Voldemort,1
Gregory Goyle,Male,Slytherin,Human,Pure-blood,4/30/1980,6/30/1998,"6,635.00",Voldemort,1
Hannah Abbott,Female,Hufflepuff,Human,Half-blood,9/1/1980,6/30/1998,"6,511.00",Dumbledore,1
Harry James Potter,Male,Gryffindor,Human,Half-blood,7/31/1980,6/30/1998,"6,543.00",Dumbledore,1
Helena Ravenclaw,Female,Ravenclaw,Ghost,Unknown,6/3/0983,4/22/1013,"10,915.00",Dumbledore,2
Helga Hufflepuff,Female,Hufflepuff,Human,Unknown,4/4/0974,6/23/1039,"23,820.00",Dumbledore,2
Hermione Jean Granger,Female,Gryffindor,Human,Muggle-born,9/19/1979,6/30/1998,"6,859.00",Dumbledore,1
Hestia Jones,Female,NA,Human,Unknown,5/3/1977,6/30/1998,"7,728.00",Dumbledore,1
Horace Eugene Flaccus Slughorn,,Slytherin,Human,Unknown,4/28/1882,6/30/1998,"42,431.00",Dumbledore,1
Igor Karkaroff,Male,NA,Human,Unknown,7/5/1964,6/24/1995,"11,311.00",Voldemort,2
Irma Pince,Female,NA,Human ,Unknown,8/23/1965,6/30/1998,"11,999.00",Dumbledore,1
James Potter,Male,Gryffindor,Human,Pure-blood,3/27/1960,10/31/1981,"7,888.00",Dumbledore,2
Justin Finch-Fletchley,Male,Hufflepuff,Human,Muggle-born,5/3/1979,6/30/1998,"6,998.00",Dumbledore,1
Katie Bell,Female,Gryffindor,Human,Unknown,8/14/1979,6/30/1998,"6,895.00",Dumbledore,1
Kingsley Shacklebolt,Male,NA,Human,Pure-blood,4/6/1970,6/30/1998,"10,312.00",Dumbledore,1
Lavender Brown,Female,Gryffindor,Human,Unknown,4/3/1978,5/2/1998,"7,334.00",Dumbledore,2
Lee Jordan ,Male,Gryffindor,Human,Unknown,6/13/1977,6/30/1998,"7,687.00",Dumbledore,1
Lily J. Potter,Female,Gryffindor,Human,Muggle-born,1/30/1960,10/31/1981,"7,945.00",Dumbledore,2
Lucius Malfoy,Male,Slytherin,Human,Pure-blood,4/5/1960,6/30/1998,"13,965.00",Voldemort,1
Luna Lovegood,Female,Ravenclaw,Human,Unknown,2/13/1981,6/30/1998,"6,346.00",Dumbledore,1
Marcus Belby,Male,Ravenclaw,Human,Unknown,8/4/1979,6/30/1998,"6,905.00",Dumbledore,1
Marcus Flint,Male,Slytherin,Human,Unknown,9/12/1975,6/30/1998,"8,327.00",Voldemort,1
Marge Dursley,Female,NA,Human ,Muggle,7/4/1954,6/30/1998,"16,067.00",Unknown,1
Marietta Edgecombe,Female,Ravenclaw,Human,Unknown,3/16/1979,6/30/1998,"7,046.00",Dumbledore,1
Marlene McKinnon,Female,NA,Human,Unknown,2/25/1959,7/15/1981,"8,176.00",Dumbledore,2
Michael Corner,Male,Ravenclaw,Human,Half-blood,9/22/1981,6/30/1998,"6,125.00",Dumbledore,1
Millicent Bulstrode,Female,Slytherin,Human,Half-blood,8/14/1979,6/30/1998,"6,895.00",Voldemort,1
Minerva McGonagall,Female,Gryffindor,Human,Half-blood,10/4/1935,6/30/1998,"22,915.00",Dumbledore,1
Molly Weasley,Female,Gryffindor,Human,Pure-blood,10/30/1949,6/30/1998,"17,775.00",Dumbledore,1
Mundungus Fletcher,Male,NA,Human,Half-blood[,4/14/1961,6/30/1998,"13,591.00",Dumbledore,1
Myrtle Elizabeth Warren (Moaning Myrtle),Female,Ravenclaw,Ghost,Muggle-born,6/14/1928,6/13/1943,"5,477.00",Unknown,2
Narcissa Malfoy,Female,Slytherin,Human,Pure-blood,5/8/1905,6/30/1998,"34,021.00",Voldemort,1
Neville Longbottom,Male,Gryffindor,Human,Pure-blood,7/30/1980,6/30/1998,"6,544.00",Dumbledore,1
Newton Scamander,Male,Hufflepuff,Human,Unknown,2/24/1897,6/30/1998,"37,015.00",Dumbledore,1
Nicholas de Mimsy-Porpington,Male,Gryffindor,Ghost,Unknown,8/11/0401,10/31/1942,"562,919.00",Unknown,2
Nymphadora Tonks,Female,Hufflepuff,Human,Half-blood,3/3/1979,5/2/1998,"7,000.00",Dumbledore,2
Oliver Wood,Male,Gryffindor,Human,Unknown,4/29/1980,6/30/1998,"6,636.00",Dumbledore,1
Padma Patil,Female,Ravenclaw,Human,Unknown,5/5/1979,6/30/1998,"6,996.00",Dumbledore,1
Pansy Parkinson,Female,Slytherin,Human,Unknown,7/3/1980,6/30/1998,"6,571.00",Voldemort,1
Parvati Patil,Female,Gryffindor,Human,Unknown,10/15/1979,6/30/1998,"6,833.00",Dumbledore,1
Penelope Clearwater,Female,Ravenclaw,Human,Unknown,9/9/1976,6/30/1998,"7,964.00",Dumbledore,1
Percy Ignatius Weasley,Male,Gryffindor,Human,Pure-blood,8/22/1976,6/30/1998,"7,982.00",Dumbledore,1
Peter Pettigrew,Male,Gryffindor,Human,Unknown,5/3/1960,3/28/1998,"13,843.00",Voldemort,2
Petunia Dursley,Female,NA,Human ,Muggle,7/5/1958,6/30/1998,"14,605.00",Unknown,1
Poppy Pomfrey,Female,NA,Human ,Pure-blood or half-blood,3/27/1952,6/30/1998,"16,896.00",Dumbledore,1
Quirinus Quirrell,Male,Ravenclaw,Human,Half-blood,9/26/1970,6/4/1992,"7,922.00",Voldemort,2
Regulus Arcturus Black,Male,Slytherin,Human,Pure-blood,5/14/1905,6/1/1905,18.00,Voldemort,2
Remus John Lupin,Male,Gryffindor,Werewolf,Half-blood,3/10/1960,5/2/1998,"13,932.00",Dumbledore,2
Roger Davies,Male,Ravenclaw,Human,Unknown,1/23/1977,6/30/1998,"7,828.00",Dumbledore,1
Rolanda Hooch,Female,NA,Human ,Unknown,3/14/1917,6/30/1998,"29,693.00",Unknown,1
Romilda Vane,Female,Gryffindor,Human,Unknown,9/15/1982,6/30/1998,"5,767.00",Dumbledore,1
Ronald Bilius Weasley,Male,Gryffindor,Human,Pure-blood,3/1/1980,6/30/1998,"6,695.00",Dumbledore,1
Rowena Ravenclaw,Female,Ravenclaw,Human,Unknown,7/23/0975,4/22/1033,"21,092.00",Dumbledore,2
Rubeus Hagrid,Male,Gryffindor,Half-Human,Pure-blood,12/6/1928,6/30/1998,"25,408.00",Dumbledore,1
Rufus Scrimgeour,Male,NA,Human,Unknown,10/2/1966,8/1/1997,"11,261.00",Dumbledore,2
Salazar Slytherin,Male,Slytherin,Human,Pure-blood,8/3/0975,2/27/1040,"23,583.00",Voldemort,2
Seamus Finnigan,Male,Gryffindor,Human,Half-blood,11/26/1979,6/30/1998,"6,791.00",Dumbledore,1
Septima Vector,Female,NA,Human ,Unknown,7/2/1973,6/30/1998,"9,129.00",Unknown,1
Severus Snape,Male,Slytherin,Human,Half-blood,1/9/1960,5/21/1998,"14,012.00",Dumbledore,2
Sirius Black,Male,Gryffindor,Human,Pure-blood,11/3/1959,6/18/1996,"13,377.00",Dumbledore,2
Sturgis Podmore,Male,NA,Human,Unknown,9/7/1957,6/30/1998,"14,906.00",Dumbledore,1
Susan Bones,Female,Hufflepuff,Human,Half-blood,9/1/1979,6/30/1998,"6,877.00",Dumbledore,1
Sybill Patricia Trelawney,Female,Ravenclaw,Human,Half-blood,3/9/1960,6/30/1998,"13,992.00",Dumbledore,1
Terry Boot,Male,Ravenclaw,Human,Unknown,10/13/1979,6/30/1998,"6,835.00",Dumbledore,1
Theodore Nott,Male,Slytherin,Human,Pure-blood,9/1/1979,6/30/1998,"6,877.00",Voldemort,1
Tom Marvolo Riddle,Male,Slytherin,Human,Half-blood,12/31/1926,5/2/1998,"26,055.00",Voldemort,2
Vernon Dursley,Male,NA,Human ,Muggle,12/24/1953,6/30/1998,"16,259.00",Unknown,1
Viktor Krum,Male,Durmstrang Institute,Human ,Pure-blood or half-blood,4/16/1976,6/30/1998,"8,110.00",Unknown,1
Vincent Crabbe,Male,Slytherin,Human,Pure-blood,3/3/1979,5/2/1998,"7,000.00",Voldemort,2
Walden Macnair,Male,Slytherin,Human,Unknown,2/24/1968,6/30/1998,"11,084.00",Voldemort,1
Zacharias Smith,Male,Hufflepuff,Human,Unknown,5/2/1981,6/30/1998,"6,268.00",Dumbledore,1
